城市,环比(上月=100),同比(上年同月=100),定基(2020年=100),2022年6月实际房价(假设5月为100)
北京,100.5,104.5,115.5,100.5
唐山,99.1,95.8,99.1,99.1
天津,99.6,97.4,97.3,99.6
秦皇岛,99.5,96.5,97.3,99.5
石家庄,99.5,95.0,93.8,99.5
包头,99.7,96.5,99.4,99.7
太原,100.5,95.2,92.8,100.5
丹东,100.0,96.5,100.3,100.0
呼和浩特,99.3,96.0,95.6,99.3
锦州,99.6,95.5,94.6,99.6
沈阳,99.7,96.3,101.7,99.7
吉林,98.9,94.9,94.2,98.9
大连,100.2,98.2,104.5,100.2
牡丹江,99.5,89.6,84.2,99.5
长春,99.2,96.3,94.7,99.2
无锡,100.5,101.0,108.4,100.5
哈尔滨,99.0,91.6,90.6,99.0
徐州,99.4,96.5,106.0,99.4
上海,100.2,102.3,112.2,100.2
扬州,99.9,96.4,103.2,99.9
南京,99.6,96.5,102.6,99.6
温州,99.3,96.5,103.1,99.3
杭州,100.6,101.4,110.0,100.6
金华,99.5,95.4,102.5,99.5
宁波,100.4,99.2,107.6,100.4
蚌埠,99.9,97.4,102.1,99.9
合肥,100.6,97.6,103.4,100.6
安庆,99.2,94.0,91.8,99.2
福州,99.8,98.1,103.7,99.8
泉州,99.5,96.3,103.7,99.5
厦门,100.3,100.4,105.2,100.3
九江,99.9,98.2,101.6,99.9
南昌,99.7,98.0,98.5,99.7
赣州,100.2,100.9,102.4,100.2
济南,99.9,97.6,97.9,99.9
烟台,100.1,97.2,99.9,100.1
青岛,100.5,99.0,99.9,100.5
济宁,99.5,96.1,101.8,99.5
郑州,99.3,96.2,97.4,99.3
洛阳,99.3,95.0,98.6,99.3
武汉,99.3,95.9,99.2,99.3
平顶山,99.8,97.5,100.1,99.8
长沙,100.1,100.7,105.4,100.1
宜昌,98.9,94.9,94.3,98.9
广州,100.5,101.2,112.6,100.5
襄阳,99.4,95.7,96.0,99.4
深圳,99.0,96.6,105.1,99.0
岳阳,98.9,96.2,95.3,98.9
南宁,99.5,95.4,97.2,99.5
常德,99.7,94.9,94.3,99.7
海口,100.3,104.7,110.8,100.3
韶关,99.7,96.5,97.9,99.7
重庆,100.5,100.1,105.1,100.5
湛江,99.9,95.6,96.9,99.9
成都,102.0,105.4,112.8,102.0
惠州,99.6,97.8,102.3,99.6
贵阳,99.3,94.6,93.5,99.3
桂林,99.7,97.4,99.1,99.7
昆明,100.1,100.1,103.5,100.1
北海,99.8,95.1,93.4,99.8
西安,100.1,99.6,106.7,100.1
三亚,99.9,100.0,104.8,99.9
兰州,99.6,96.0,100.4,99.6
泸州,99.6,96.8,96.9,99.6
西宁,99.4,97.5,104.2,99.4
南充,101.0,98.1,94.0,101.0
银川,99.9,97.3,105.2,99.9
遵义,99.5,95.3,95.6,99.5
乌鲁木齐,99.2,96.5,100.1,99.2
大理,100.4,94.0,95.8,100.4
