城市,环比(上月=100),同比(上年同月=100),定基(2020年=100),2022年7月实际房价
北京,100.2,104.1,115.8,100.701
唐山,99.2,95.5,98.3,98.307
天津,99.2,96.5,96.6,98.803
秦皇岛,99.6,96.6,96.9,99.102
石家庄,100.1,95.3,93.9,99.600
包头,99.6,96.4,99.0,99.301
太原,99.7,94.5,92.5,100.199
丹东,99.2,95.6,99.6,99.200
呼和浩特,99.5,96.0,95.1,98.804
锦州,99.9,95.5,94.5,99.500
沈阳,99.4,95.4,101.1,99.102
吉林,99.1,93.9,93.3,98.010
大连,99.8,97.8,104.3,100.000
牡丹江,99.3,89.5,83.5,98.804
长春,99.4,95.5,94.2,98.605
无锡,100.1,100.7,108.6,100.601
哈尔滨,99.6,91.1,90.2,98.604
徐州,99.6,96.3,105.5,99.002
上海,100.8,102.4,113.0,101.002
扬州,100.5,96.6,103.7,100.400
南京,100.2,96.3,102.7,99.799
温州,99.6,95.9,102.7,98.903
杭州,99.7,100.6,109.6,100.298
金华,99.5,94.6,102.0,99.003
宁波,100.1,99.1,107.7,100.500
蚌埠,99.7,96.8,101.7,99.600
合肥,100.7,98.1,104.0,101.304
安庆,99.6,94.0,91.4,98.605
福州,99.9,97.8,103.5,99.502
泉州,99.4,95.4,103.1,98.803
厦门,99.5,99.6,104.7,99.601
九江,99.8,97.8,101.4,99.700
南昌,100.5,98.5,99.0,100.199
赣州,99.6,100.7,102.0,99.799
济南,99.8,97.0,97.7,99.700
烟台,100.9,97.5,100.9,100.899
青岛,99.7,98.4,99.6,99.502
济宁,99.8,96.1,101.6,99.103
郑州,99.5,95.4,96.8,98.802
洛阳,99.6,94.3,98.2,98.802
武汉,99.9,95.4,99.1,98.903
平顶山,99.4,97.1,99.6,99.103
长沙,100.3,99.9,105.7,100.300
宜昌,99.7,94.8,94.0,98.505
广州,100.1,100.6,112.8,100.601
襄阳,99.5,95.4,95.5,98.604
深圳,99.5,96.5,104.6,98.505
岳阳,99.5,96.2,94.8,98.604
南宁,99.6,95.1,96.8,98.803
常德,99.2,94.6,93.6,98.208
海口,99.7,103.1,110.5,100.299
韶关,99.5,96.1,97.4,99.002
重庆,100.3,100.2,105.4,100.300
湛江,99.7,95.3,96.6,98.803
成都,101.3,106.7,114.2,102.607
惠州,100.2,98.1,102.4,100.200
贵阳,99.5,94.1,93.0,98.803
桂林,99.4,96.5,98.5,98.604
昆明,99.3,99.8,102.8,99.002
北海,99.2,94.3,92.6,98.208
西安,100.3,99.3,107.0,100.300
三亚,99.8,99.4,104.6,99.502
兰州,99.4,95.2,99.8,98.803
泸州,100.3,97.0,97.2,99.700
西宁,99.9,97.0,104.0,99.301
南充,100.6,99.4,94.6,100.499
银川,99.7,96.8,104.9,99.203
遵义,100.4,95.8,96.0,99.899
乌鲁木齐,99.6,96.4,99.7,98.803
大理,99.6,94.2,95.5,99.998
