城市,2022-11环比,2022-11同比,2022-11定基(2020=100),2022-11实际房价
北京,99.8,105.2,116.5,100.902
唐山,99.5,94.3,96.3,96.358
天津,99.6,93.8,94.0,96.833
秦皇岛,99.6,95.3,94.6,96.835
石家庄,99.3,95.7,92.2,98.512
包头,99.6,95.6,97.4,98.112
太原,99.7,94.8,90.9,99.405
丹东,99.5,93.3,96.9,97.134
呼和浩特,100.0,95.9,94.0,97.620
锦州,99.6,94.4,92.1,98.511
沈阳,99.2,93.4,98.6,97.844
吉林,99.2,91.6,90.2,95.487
大连,99.4,95.0,101.9,97.911
牡丹江,98.8,88.2,80.3,95.703
长春,99.5,94.0,92.6,97.039
无锡,99.7,100.3,107.6,99.600
哈尔滨,99.2,90.5,87.5,97.132
徐州,100.2,97.0,104.6,98.008
上海,99.5,103.5,113.2,100.897
扬州,99.7,96.8,102.8,99.698
南京,99.7,96.4,102.6,99.500
温州,99.3,95.0,100.7,97.963
杭州,99.8,99.4,107.5,97.710
金华,99.5,93.9,100.1,97.544
宁波,99.6,98.2,105.8,98.607
蚌埠,100.4,96.7,100.9,100.203
合肥,99.6,98.5,104.0,101.193
安庆,99.1,93.3,89.2,96.339
福州,99.5,97.0,101.8,97.815
泉州,99.3,93.7,100.2,97.135
厦门,99.7,98.5,102.6,102.410
九江,99.6,96.9,99.4,98.109
南昌,99.6,98.4,98.4,98.099
赣州,99.8,98.9,101.2,99.101
济南,99.5,96.6,96.5,97.211
烟台,99.6,97.2,100.0,100.096
青岛,99.3,96.8,97.4,96.928
济宁,99.0,92.9,98.0,96.463
郑州,99.2,94.5,94.4,94.622
洛阳,99.3,92.5,95.6,95.762
武汉,99.3,93.8,96.6,95.863
平顶山,99.6,96.0,97.9,98.214
长沙,100.1,99.9,106.1,100.801
宜昌,99.7,93.3,91.4,95.855
广州,99.4,99.7,110.6,99.100
襄阳,99.6,94.1,93.4,96.944
深圳,99.7,96.4,103.1,97.813
岳阳,99.6,95.2,93.1,97.339
南宁,99.5,94.2,94.4,96.891
常德,99.4,93.5,91.6,97.346
海口,99.7,99.3,108.5,98.404
韶关,99.5,95.8,96.0,97.818
重庆,99.4,97.9,103.1,98.804
湛江,99.1,93.4,93.6,96.151
成都,100.3,108.5,116.1,103.940
惠州,99.8,98.4,101.3,99.101
贵阳,99.6,95.3,92.3,97.221
桂林,99.3,96.4,96.5,96.843
昆明,100.5,102.1,103.4,99.099
北海,99.5,91.9,89.5,94.823
西安,99.3,97.7,105.1,104.865
三亚,99.7,97.6,103.6,98.610
兰州,100.0,95.1,98.5,97.818
泸州,99.1,96.6,95.8,94.724
西宁,99.7,96.6,102.7,98.011
南充,99.4,101.4,93.7,99.301
银川,99.5,96.3,103.6,99.106
遵义,99.8,95.6,94.7,95.113
乌鲁木齐,100.0,98.0,99.6,98.703
大理,99.2,95.6,94.7,94.919
