城市,2023-01环比,2023-01同比,累计(上年同期),2023-01实际房价
北京,100.9,104.3,104.3,101.809
唐山,99.3,93.6,93.6,95.684
天津,99.6,93.8,93.8,96.446
秦皇岛,99.6,95.5,95.5,96.448
石家庄,99.5,96.6,96.6,98.020
包头,99.8,95.5,95.5,97.925
太原,99.7,95.3,95.3,98.709
丹东,99.7,93.5,93.5,95.724
呼和浩特,99.6,94.6,94.6,96.067
锦州,99.4,94.0,94.0,97.352
沈阳,99.4,93.3,93.3,96.857
吉林,99.3,91.2,91.2,94.825
大连,99.5,94.9,94.9,97.424
牡丹江,99.3,89.0,89.0,95.851
长春,99.0,93.2,93.2,95.805
无锡,99.6,99.7,99.7,98.902
哈尔滨,99.3,90.9,90.9,95.879
徐州,100.1,98.0,98.0,98.105
上海,100.4,102.3,102.3,101.300
扬州,99.8,97.3,97.3,99.301
南京,100.5,97.4,97.4,101.954
温州,99.8,94.9,94.9,97.803
杭州,99.8,98.5,98.5,97.714
金华,99.6,93.8,93.8,97.038
宁波,100.2,99.2,99.2,98.809
蚌埠,99.7,96.8,96.8,99.798
合肥,99.8,98.8,98.8,101.011
安庆,99.7,93.7,93.7,96.044
福州,100.1,97.5,97.5,97.916
泉州,99.4,93.6,93.6,96.553
厦门,99.8,98.0,98.0,102.206
九江,99.9,97.1,97.1,98.020
南昌,99.5,97.8,97.8,97.827
赣州,99.6,99.0,99.0,98.712
济南,99.7,96.5,96.5,97.023
烟台,100.1,97.7,97.7,100.396
青岛,99.9,96.6,96.6,97.513
济宁,99.7,93.1,93.1,95.614
郑州,99.6,94.1,94.1,94.144
洛阳,99.5,92.6,92.6,95.268
武汉,99.7,93.9,93.9,96.492
平顶山,99.7,95.7,95.7,97.923
长沙,100.2,100.1,100.1,100.901
宜昌,99.6,93.2,93.2,95.431
广州,99.8,99.5,99.5,98.547
襄阳,99.4,94.3,94.3,96.361
深圳,100.6,97.3,97.3,98.364
岳阳,99.5,94.7,94.7,96.215
南宁,99.4,93.5,93.5,96.310
常德,99.7,93.9,93.9,95.871
海口,99.6,97.9,97.9,97.919
韶关,99.3,95.4,95.4,97.136
重庆,99.5,96.8,96.8,98.311
湛江,99.8,94.1,94.1,96.011
成都,100.5,108.8,108.8,104.459
惠州,99.8,97.8,97.8,98.703
贵阳,99.5,95.9,95.9,96.833
桂林,99.6,95.9,95.9,96.361
昆明,99.3,100.3,100.3,98.605
北海,99.7,92.2,92.2,94.646
西安,100.6,98.3,98.3,105.493
三亚,100.4,98.8,98.8,98.906
兰州,99.5,94.8,94.8,97.329
泸州,100.1,96.9,96.9,95.857
西宁,99.6,97.2,97.2,97.619
南充,100.2,99.9,99.9,99.301
银川,99.2,94.7,94.7,98.315
遵义,99.6,97.5,97.5,94.057
乌鲁木齐,99.4,95.4,95.4,98.111
大理,99.4,95.4,95.4,94.191
