城市,2024-01环比,2024-01同比,,2024-01实际房价
北京,99.3,96.3,,98.684
唐山,99.5,94.2,,93.257
天津,99.5,98.0,,95.291
秦皇岛,99.0,95.6,,93.271
石家庄,99.5,98.2,,97.365
包头,99.4,95.5,,94.733
太原,99.7,97.1,,96.278
丹东,99.4,94.2,,92.303
呼和浩特,99.5,95.1,,93.391
锦州,99.8,95.3,,94.701
沈阳,99.3,94.7,,94.035
吉林,99.3,93.4,,91.854
大连,99.3,94.8,,94.694
牡丹江,99.6,94.2,,92.674
长春,99.5,94.8,,93.574
无锡,99.2,95.6,,96.912
哈尔滨,99.6,95.5,,94.122
徐州,98.5,91.0,,90.127
上海,99.2,95.5,,99.017
扬州,99.4,93.7,,95.501
南京,99.1,92.6,,96.460
温州,99.1,93.8,,93.654
杭州,98.8,96.9,,96.730
金华,99.0,94.6,,94.250
宁波,99.4,94.5,,95.747
蚌埠,99.2,96.4,,97.914
合肥,98.9,95.1,,97.723
安庆,99.1,95.5,,93.594
福州,99.6,94.4,,95.020
泉州,99.3,93.8,,92.258
厦门,98.9,92.1,,96.450
九江,98.9,94.7,,95.116
南昌,99.5,95.1,,95.533
赣州,99.3,98.9,,98.118
济南,99.8,97.2,,95.658
烟台,99.4,94.2,,94.328
青岛,99.2,94.6,,94.025
济宁,99.0,94.8,,93.851
郑州,99.3,93.7,,91.250
洛阳,98.9,94.9,,91.873
武汉,99.0,93.9,,93.213
平顶山,99.0,96.0,,94.623
长沙,99.3,97.8,,100.184
宜昌,99.4,94.7,,92.356
广州,98.8,93.9,,93.931
襄阳,99.3,93.9,,91.723
深圳,98.4,94.8,,93.331
岳阳,99.5,96.8,,94.503
南宁,99.4,94.3,,93.125
常德,99.6,97.1,,93.585
海口,98.9,94.2,,93.533
韶关,99.7,96.4,,94.955
重庆,99.0,94.1,,94.680
湛江,99.0,96.4,,93.317
成都,99.1,99.0,,104.574
惠州,99.0,96.0,,95.755
贵阳,99.5,96.1,,94.193
桂林,99.6,96.0,,94.699
昆明,100.3,97.0,,97.238
北海,99.7,96.7,,94.333
西安,99.5,98.0,,103.357
三亚,100.2,99.3,,98.322
兰州,99.3,94.6,,94.374
泸州,99.8,97.7,,93.684
西宁,99.3,97.1,,95.285
南充,99.3,98.0,,97.128
银川,99.8,97.7,,97.252
遵义,99.5,97.3,,92.613
乌鲁木齐,99.7,96.5,,94.863
大理,99.5,96.9,,92.372
