城市,环比,同比,1-12月平均
北京,100.5,95.5,92.9
天津,100.1,93.7,94.4
石家庄,99.5,92.4,95.0
太原,99.8,95.8,95.8
呼和浩特,99.0,88.8,91.8
沈阳,99.6,92.4,92.7
大连,99.7,90.4,91.7
长春,99.2,93.3,93.7
哈尔滨,99.6,92.1,92.9
上海,100.9,96.6,93.9
南京,99.9,93.5,91.1
杭州,99.8,94.7,94.2
宁波,99.4,90.7,91.0
合肥,99.5,91.0,92.0
福州,99.7,90.7,91.1
厦门,100.4,88.3,88.1
南昌,99.6,89.3,91.2
济南,99.8,90.0,92.5
青岛,99.7,91.5,91.9
郑州,99.6,92.3,91.8
武汉,100.2,89.7,89.0
长沙,99.9,91.1,93.0
广州,99.7,89.1,89.3
深圳,100.1,92.0,91.1
南宁,99.5,90.5,91.5
海口,100.2,92.2,91.6
重庆,99.6,93.8,92.3
成都,100.3,94.1,93.5
贵阳,99.6,94.3,93.9
昆明,99.3,94.1,95.1
西安,99.8,92.8,94.4
兰州,99.9,90.7,91.7
西宁,99.1,92.3,94.0
银川,99.9,94.3,94.7
乌鲁木齐,99.6,94.1,95.1
唐山,99.5,88.7,90.9
秦皇岛,99.4,88.6,91.4
包头,99.5,88.7,91.5
丹东,99.8,89.1,91.5
锦州,99.3,91.9,93.3
吉林,99.7,93.9,93.2
牡丹江,99.5,92.0,92.5
无锡,99.6,92.1,92.4
徐州,100.0,91.9,89.0
扬州,99.4,91.8,91.8
温州,99.4,88.3,89.7
金华,99.5,87.3,90.1
蚌埠,99.6,92.2,93.1
安庆,99.4,90.8,92.1
泉州,99.5,88.4,91.1
九江,99.6,90.3,91.4
赣州,100.4,94.1,95.1
烟台,99.4,90.8,91.2
济宁,99.9,93.8,92.8
洛阳,99.7,92.0,92.6
平顶山,99.9,93.4,93.7
宜昌,99.9,92.5,93.3
襄阳,99.5,90.0,90.6
岳阳,99.6,93.6,94.8
常德,99.5,90.8,92.3
韶关,99.2,92.9,93.9
湛江,99.3,91.7,92.7
惠州,99.6,89.2,91.9
桂林,99.6,94.5,93.8
北海,99.7,94.8,94.8
三亚,99.4,93.3,95.8
泸州,99.7,92.1,94.4
南充,99.8,92.6,94.1
遵义,99.5,94.2,95.3
大理,99.7,92.0,93.6
