城市,2025-01环比,2025-01同比,2025-01 1-01月平均,2025-01实际房价
北京,100.1,96.2,96.2,97.187
唐山,99.3,88.5,88.5,84.299
天津,100.1,94.3,94.3,92.352
秦皇岛,99.5,88.9,88.9,88.974
石家庄,99.7,92.6,92.6,93.624
包头,99.6,88.8,88.8,87.973
太原,99.6,95.7,95.7,94.245
丹东,99.8,89.4,89.4,87.858
呼和浩特,99.3,88.6,88.6,87.741
锦州,99.2,91.4,91.4,90.336
沈阳,99.6,92.8,92.8,89.494
吉林,99.4,94.1,94.1,91.004
大连,99.8,90.9,90.9,91.206
牡丹江,99.4,91.9,91.9,88.200
长春,99.5,93.3,93.3,90.288
无锡,100.2,93.0,93.0,91.676
哈尔滨,99.4,91.9,91.9,89.686
徐州,99.4,92.7,92.7,87.800
上海,100.4,97.7,97.7,100.650
扬州,98.8,91.2,91.2,89.130
南京,100.0,94.4,94.4,93.398
温州,99.8,88.9,88.9,87.173
杭州,99.6,95.5,95.5,95.630
金华,99.9,88.2,88.2,88.039
宁波,100.3,91.6,91.6,91.624
蚌埠,99.7,92.7,92.7,94.600
合肥,99.6,91.6,91.6,92.803
安庆,99.3,91.0,91.0,91.648
福州,99.5,90.6,90.6,89.693
泉州,99.8,88.9,88.9,87.405
厦门,100.0,89.3,89.3,75.534
九江,99.5,90.9,90.9,91.625
南昌,99.4,89.2,89.2,90.491
赣州,99.8,94.6,94.6,93.643
济南,99.9,90.1,90.1,91.651
烟台,99.5,91.0,91.0,90.735
青岛,100.0,92.2,92.2,91.665
济宁,99.5,94.2,94.2,91.539
郑州,99.3,92.2,92.2,88.163
洛阳,99.6,92.6,92.6,88.581
武汉,99.5,90.1,90.1,87.633
平顶山,99.8,94.2,94.2,91.838
长沙,99.7,91.5,91.5,94.503
宜昌,99.7,92.7,92.7,89.829
广州,99.8,90.0,90.0,88.485
襄阳,99.2,89.9,89.9,86.343
深圳,100.4,93.9,93.9,89.018
岳阳,99.8,93.9,93.9,90.605
南宁,99.7,90.8,90.8,90.483
常德,99.3,90.6,90.6,91.529
海口,99.7,92.9,92.9,90.734
韶关,99.8,93.0,93.0,91.615
重庆,99.6,94.4,94.4,91.659
湛江,99.5,92.2,92.2,90.397
成都,100.2,95.1,95.1,100.867
惠州,99.4,89.5,89.5,89.845
贵阳,99.7,94.5,94.5,90.804
桂林,99.5,94.3,94.3,93.068
昆明,99.2,93.1,93.1,94.433
北海,99.7,94.7,94.7,91.563
西安,99.7,93.0,93.0,93.566
三亚,99.8,92.9,92.9,95.607
兰州,99.3,90.7,90.7,90.464
泸州,99.7,92.0,92.0,90.594
西宁,99.6,92.6,92.6,90.569
南充,99.9,93.1,93.1,94.113
银川,99.7,94.3,94.3,94.048
遵义,99.7,94.4,94.4,91.135
乌鲁木齐,99.7,94.1,94.1,92.684
大理,99.8,92.3,92.3,88.949
