Portfolio Performance (Jan 2005 - Jul 2025),,,,,,,,,,,,,,,,,,,
Metric,lazy permanet,aggresive,6040,Vanguard 500 Index Investor,,,,,,,,,,,,,,,
Start Balance,"гд10,000.00","гд10,000.00","гд10,000.00","гд10,000.00",,,,,,,,,,,,,,,
End Balance,"гд41,837.11","гд62,589.18","гд49,113.46","гд75,935.59",,,,,,,,,,,,,,,
End Balance (inflation adjusted),"гд24,682.47","гд36,925.48","гд28,975.27","гд44,799.41",,,,,,,,,,,,,,,
Annualized Return (CAGR),7.20%,9.32%,8.04%,10.35%,,,,,,,,,,,,,,,
"Annualized Return (CAGR, inflation adjusted)",4.49%,6.55%,5.30%,7.56%,,,,,,,,,,,,,,,
Standard Deviation,7.18%,12.17%,8.99%,14.95%,,,,,,,,,,,,,,,
Best Year,16.46%,26.14%,21.95%,32.18%,,,,,,,,,,,,,,,
Worst Year,-12.67%,-26.00%,-16.98%,-37.02%,,,,,,,,,,,,,,,
Maximum Drawdown,-16.43%,-39.31%,-26.78%,-50.97%,,,,,,,,,,,,,,,
Sharpe Ratio,0.78,0.66,0.72,0.62,,,,,,,,,,,,,,,
Sortino Ratio,1.28,0.98,1.09,0.93,,,,,,,,,,,,,,,
Benchmark Correlation,0.52,0.99,0.95,1.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Trailing Returns,,,,,,,,,,,,,,,,,,,
,Total Return,Total Return,Total Return,Annualized Return,Annualized Return,Annualized Return,Annualized Return,,,,,,,,,,,,
Name,3 Month,Year To Date,1 year,3 year,5 year,10 year,Full,,,,,,,,,,,,
lazy permanet,2.94%,10.58%,13.68%,9.72%,5.08%,6.71%,7.20%,,,,,,,,,,,,
aggresive,11.14%,7.30%,13.08%,13.10%,11.54%,10.67%,9.32%,,,,,,,,,,,,
6040,8.14%,6.94%,10.96%,10.15%,8.38%,8.67%,8.04%,,,,,,,,,,,,
Vanguard 500 Index Investor,14.16%,8.49%,16.17%,16.94%,15.72%,13.51%,10.35%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Annual Returns,,,,,,,,,,,,,,,,,,,
,,lazy permanet,lazy permanet,lazy permanet,lazy permanet,aggresive,aggresive,aggresive,aggresive,6040,6040,6040,6040,Vanguard 500 Index Investor,Vanguard 500 Index Investor,,,,
Year,Inflation,Return,Balance,Yield,Income,Return,Balance,Yield,Income,Return,Balance,Yield,Income,Return,Balance,Vanguard Total Stock Market ETF (VTI),SPDR Gold Shares (GLD),iShares 7-10 Year Treasury Bond ETF (IEF),SPDR S&P 500 ETF (SPY)
2025,2.20%,10.58%,"гд41,837.11",1.15%,гд433.75,7.30%,"гд62,589.18",0.92%,гд535.38,6.94%,"гд49,113.46",1.14%,гд523.74,8.49%,"гд75,935.59",7.98%,25.12%,4.62%,8.49%
2024,2.89%,12.30%,"гд37,832.71",2.15%,гд725.58,18.92%,"гд58,328.49",1.95%,гд957.21,14.68%,"гд45,924.46",2.31%,гд924.26,24.84%,"гд69,990.75",23.81%,26.66%,-0.64%,24.89%
2023,3.35%,11.51%,"гд33,689.18",1.94%,гд584.73,21.57%,"гд49,047.77",2.03%,гд819.63,17.17%,"гд40,046.78",2.24%,гд764.20,26.11%,"гд56,063.76",26.05%,12.69%,3.64%,26.19%
2022,6.45%,-12.67%,"гд30,212.35",1.14%,гд393.20,-18.65%,"гд40,345.14",1.38%,гд685.97,-16.98%,"гд34,177.99",1.45%,гд595.74,-18.23%,"гд44,455.51",-19.51%,-0.77%,-15.19%,-18.17%
2021,7.04%,3.72%,"гд34,594.33",0.78%,гд260.00,19.87%,"гд49,592.95",1.37%,гд567.19,15.91%,"гд41,168.29",1.24%,гд441.45,28.53%,"гд54,366.00",25.67%,-4.15%,-3.33%,28.74%
2020,1.36%,16.46%,"гд33,354.96",1.02%,гд290.90,18.82%,"гд41,372.24",1.60%,гд557.04,15.03%,"гд35,515.97",1.54%,гд475.80,18.25%,"гд42,297.38",21.03%,24.81%,10.01%,18.37%
2019,2.29%,16.15%,"гд28,639.82",1.68%,гд415.32,26.14%,"гд34,818.48",2.28%,гд629.02,21.95%,"гд30,876.32",2.25%,гд569.11,31.33%,"гд35,770.15",30.67%,17.86%,8.03%,31.22%
